;	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152
At1g78680-9	B	B	A	A	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	A	A	A	B	A	B	A	A	A	B	B	A	A	A	B	A	B	B	B	B	A	B	A	B	B	A	A	A	A	B	A	A	B	B	B	A	B	B	A	A	A	A	B	B	A	A	B	B	B	B	B	A	A	A	A	A	B	A	B	A	A	B	B	A	B	A	B	A	B	A	B	B	A	B	-	B	B	B	B	A	A	B	A	B	B	A	B	A	B	B	B	A	A	B	B	A	A	B	A	B	A	B	A	A	A	B	B	A	A	B	B	A	B	B	B	B	A	B	B	A	A	-	B	A	B	B	B	B	A	A	A	B	B
At1g79040-5	B	B	A	A	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	A	A	A	B	A	B	A	A	A	B	B	A	B	A	B	A	B	B	B	B	A	B	A	B	B	A	A	A	A	B	A	A	B	B	B	A	B	B	A	A	A	A	B	B	A	A	B	B	B	B	B	A	A	A	A	A	B	A	B	A	A	B	B	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	B	B	A	B	A	B	B	B	A	A	B	B	A	A	B	A	B	A	B	A	A	A	B	B	A	A	B	B	A	B	B	B	B	A	B	B	A	A	-	B	A	B	B	B	B	A	A	A	B	B
At1g80180-4	B	B	A	A	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	A	A	A	B	A	B	A	A	A	B	B	A	B	A	B	A	B	B	B	B	A	B	A	B	B	A	A	A	A	B	A	A	B	B	B	A	B	B	A	A	A	A	B	B	A	A	B	B	B	B	B	A	A	A	A	A	B	A	B	A	A	B	B	A	B	A	B	A	B	A	B	B	A	B	B	B	B	B	B	A	A	B	A	B	B	A	B	A	B	B	B	A	A	B	B	A	A	B	A	B	A	B	A	A	A	B	B	A	A	B	B	A	B	B	B	B	A	B	B	A	A	-	B	A	B	B	B	B	A	A	A	B	B
EndLG1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
At2g01090-9	A	B	B	B	B	A	A	A	A	B	B	B	B	A	A	A	B	B	A	B	B	A	B	A	B	B	B	B	B	A	A	A	B	B	B	A	A	B	B	B	A	B	A	A	A	B	A	A	A	A	A	B	-	A	A	A	B	B	B	B	B	B	B	B	A	A	A	B	A	B	A	B	B	A	A	B	B	B	A	B	B	B	A	B	A	B	B	B	-	A	B	A	A	A	A	B	A	B	B	A	A	B	B	A	A	A	B	B	B	A	A	B	B	A	A	B	A	B	B	B	B	A	A	B	A	B	A	B	A	B	B	A	B	A	A	A	B	-	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g01290-10	A	B	B	B	B	A	A	A	A	B	B	B	B	A	A	A	B	B	A	B	B	A	B	B	B	B	B	B	B	A	A	A	B	B	B	B	A	B	B	B	A	B	A	A	A	B	A	A	A	A	A	B	A	A	A	A	B	B	B	B	B	B	B	B	A	A	A	A	A	B	A	B	B	A	A	A	B	B	A	B	B	B	A	B	A	B	B	B	A	A	B	A	A	A	A	B	A	B	B	A	A	B	B	A	A	A	B	B	B	A	A	B	B	A	A	B	A	B	B	B	B	A	A	B	A	B	A	B	A	B	B	A	B	A	A	A	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
MSAT2.5	A	B	B	B	B	A	A	A	A	B	B	B	B	A	A	A	B	B	A	B	B	A	B	-	B	B	B	B	B	A	A	A	B	B	B	B	-	B	B	B	A	B	A	A	A	B	A	A	A	A	A	B	A	A	A	A	B	B	B	B	B	B	B	B	A	A	A	-	A	B	A	B	-	A	A	A	B	B	A	B	B	-	A	B	A	B	B	B	-	A	B	A	A	A	A	B	A	B	B	A	A	B	B	A	A	A	B	B	B	A	A	B	B	A	A	B	A	B	B	B	B	A	A	B	A	B	A	B	A	B	B	A	B	A	A	A	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g01670-8	A	B	B	B	B	A	A	A	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	B	B	B	B	B	A	A	A	B	A	B	B	A	B	B	B	A	B	A	A	A	B	A	A	A	B	A	B	A	A	A	A	B	B	-	B	B	B	B	B	A	A	A	A	A	B	A	B	B	A	A	A	B	B	B	A	B	B	A	B	A	B	B	B	A	A	B	A	A	A	A	B	A	B	B	A	A	A	B	A	A	-	B	B	B	A	A	B	B	A	A	B	A	B	B	B	B	A	A	B	A	B	A	B	A	B	B	A	B	A	B	-	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g01760-4	A	B	B	B	B	A	A	A	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	B	B	B	B	B	A	A	A	B	A	B	B	A	B	B	B	A	B	A	A	A	B	A	A	A	B	A	B	A	A	A	A	B	B	B	B	B	B	B	B	A	A	A	A	A	B	A	B	B	A	A	A	B	B	B	A	B	B	A	B	A	B	B	B	A	A	B	A	A	A	A	B	A	B	B	A	A	A	B	A	A	A	B	B	B	A	A	B	B	A	A	B	A	B	B	B	B	A	A	B	A	B	A	B	A	B	B	B	B	A	B	-	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g01850-7	A	B	B	B	B	A	A	A	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	B	B	B	B	B	A	A	A	B	A	B	B	A	B	B	B	A	B	A	A	A	B	A	A	A	B	A	B	A	A	A	A	B	B	B	A	B	B	B	B	A	A	A	A	A	B	A	B	B	A	A	A	B	B	B	B	B	B	A	B	A	B	B	B	A	A	B	A	A	A	A	B	A	A	B	A	A	A	B	A	A	A	B	B	B	A	A	B	B	A	A	B	A	B	B	B	B	A	A	B	A	B	B	B	A	B	B	B	B	A	B	-	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g01890-9	A	B	B	B	B	A	A	A	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	B	B	B	B	B	A	A	A	B	A	B	B	A	B	B	B	A	B	A	A	A	B	A	A	A	B	A	B	A	A	A	A	B	B	B	A	B	B	B	B	A	A	A	A	A	B	A	B	B	A	A	A	B	B	B	B	B	B	A	B	A	B	B	B	A	A	B	A	A	A	A	B	A	A	B	A	A	A	B	A	A	A	B	B	B	A	A	B	B	A	A	B	A	B	B	B	B	A	A	B	A	B	B	B	A	B	B	B	B	A	B	-	B	A	A	A	-	B	A	B	A	B	A	A	A	A	B	B
At2g01930-1	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	B	B	B	B	B	A	A	A	B	A	B	B	A	B	B	B	A	B	A	A	A	B	A	A	A	B	A	B	A	A	A	A	B	B	B	A	B	B	B	A	A	A	A	A	A	B	A	B	B	A	A	A	B	B	B	B	B	B	A	B	A	B	B	B	A	A	B	A	A	A	A	B	A	A	B	A	A	A	B	A	A	A	B	B	B	A	A	B	B	A	A	B	A	B	B	B	B	A	A	B	A	B	B	B	A	B	B	B	B	A	B	A	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g02360-3	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	A	B	B	B	B	B	B	A	A	A	B	A	A	B	A	B	B	B	A	B	A	A	A	B	A	B	A	B	A	B	A	A	A	A	B	B	B	A	B	B	B	A	A	A	A	A	A	B	A	B	B	A	A	A	B	B	B	B	B	B	A	B	A	B	B	B	A	A	B	B	A	A	A	B	A	A	B	A	A	A	B	A	A	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	B	A	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g02710-1	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	A	B	B	B	B	B	B	A	A	A	B	A	A	B	A	B	B	B	A	B	A	A	A	B	A	B	A	B	A	B	A	A	A	A	B	B	B	A	B	B	B	A	A	A	A	A	A	B	A	B	B	A	B	A	B	B	B	B	B	B	A	B	A	B	B	B	A	A	B	B	A	A	A	B	A	A	B	A	A	A	B	A	A	A	B	B	B	A	B	A	B	A	A	B	A	B	B	B	B	A	A	B	B	B	B	B	A	B	B	B	B	A	B	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g03750-5	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	B	B	B	B	B	A	A	A	B	A	A	B	A	B	B	B	A	B	A	A	A	B	A	B	A	B	A	B	A	A	A	A	B	B	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	B	A	B	B	B	A	A	B	B	A	A	A	B	A	A	B	A	A	A	B	A	A	A	B	B	B	A	B	A	B	A	B	B	A	B	B	B	B	A	A	B	B	B	B	B	A	B	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g03870-9	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	A	B	A	A	A	B	A	B	A	B	A	B	A	A	A	A	B	B	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	B	A	B	B	B	A	A	B	B	A	A	A	B	A	A	B	A	A	A	B	A	A	A	B	B	B	A	B	A	B	A	B	B	A	B	B	B	B	A	A	B	B	B	B	B	A	B	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g04550-1	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	B	B	A	A	A	B	A	B	A	B	A	B	A	A	A	A	B	B	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	A	B	B	B	B	B	B	B	B	A	B	A	B	B	B	A	A	B	B	A	A	A	B	A	A	B	A	A	A	B	A	A	A	B	B	B	A	B	A	B	A	B	B	A	B	B	B	B	A	A	B	B	B	B	B	A	B	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g05380-11	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	A	B	A	A	A	B	A	B	A	B	A	B	A	A	A	A	B	B	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	A	B	B	B	B	B	B	B	A	A	B	A	B	B	B	A	A	B	B	A	A	A	B	A	A	B	A	A	A	B	A	A	A	B	B	B	A	B	A	B	A	B	B	A	B	B	B	B	A	A	B	B	B	B	B	A	B	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g05590-4	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	A	B	A	A	A	B	A	B	A	B	B	B	A	A	A	A	B	B	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	A	B	B	B	B	B	B	B	A	A	B	A	B	B	B	A	A	B	B	A	A	A	B	A	A	B	A	A	A	B	A	A	A	B	B	B	A	B	A	B	A	B	B	A	B	B	B	B	A	A	B	B	B	B	B	A	B	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g05620-7	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	B	B	A	A	A	B	A	B	A	B	B	B	A	A	A	A	B	B	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	A	B	B	B	B	B	B	B	A	A	B	A	B	B	B	A	A	B	B	A	A	A	B	A	A	B	A	A	A	B	A	A	A	B	B	B	A	B	A	B	A	B	B	A	B	B	B	B	A	A	B	B	B	B	B	A	B	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
MSAT2.38	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	B	A	B	B	B	A	A	A	B	A	A	B	-	B	B	B	-	B	A	A	A	B	A	B	A	B	B	B	A	A	A	A	B	B	B	A	B	B	B	A	A	A	B	-	A	B	A	B	-	A	B	B	B	B	B	B	B	-	A	B	A	B	B	B	-	A	B	B	A	A	A	B	A	A	B	A	A	A	B	A	A	A	B	B	B	A	B	B	B	A	B	B	A	B	B	B	B	A	A	B	B	B	B	B	A	B	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g14170-3	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	A	B	A	A	A	B	A	B	A	B	B	B	A	A	A	A	B	B	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	A	B	B	B	A	A	A	B	B	A	B	A	A	A	B	A	A	A	B	B	B	A	B	B	B	A	B	B	B	B	B	B	B	A	A	B	B	B	B	B	A	B	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g14560-2	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	B	B	A	A	A	B	A	B	A	B	B	B	A	B	A	A	B	B	B	A	B	B	B	A	A	A	B	A	A	B	A	B	B	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	A	B	B	B	A	A	A	B	B	A	B	A	B	A	B	A	A	A	B	B	B	A	B	B	B	A	B	B	B	B	B	B	B	B	A	B	B	B	B	B	A	B	B	B	B	A	A	B	B	A	A	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g15580-9	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	A	B	A	B	A	B	A	B	A	B	B	B	A	B	A	A	B	B	B	A	B	B	B	A	A	A	A	A	B	B	A	B	B	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	A	B	B	A	A	B	A	B	B	A	B	A	B	A	B	A	A	B	B	A	B	A	B	B	B	A	B	B	B	B	B	B	B	-	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g15620-4	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	A	B	A	B	A	B	A	B	A	B	B	B	A	B	A	A	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	B	B	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	A	B	B	A	A	B	A	B	B	A	B	A	B	A	B	A	A	B	B	A	B	A	B	B	B	A	B	B	B	B	B	B	B	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	A	A	B	A	B	A	B	A	A	A	A	B	B
At2g15890-8	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	B	B	B	B	A	B	A	B	A	B	A	B	A	B	B	B	A	B	A	A	B	B	B	A	B	B	B	A	A	A	A	A	B	B	A	B	B	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	A	B	A	A	A	B	A	B	B	A	B	A	B	A	B	A	A	B	B	A	B	A	B	B	B	A	B	B	B	B	B	B	B	-	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	B	A	B	A	A	A	A	B	B
At2g15960-4	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	B	B	B	B	A	B	A	A	A	B	A	B	A	B	B	B	A	B	A	A	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	B	B	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	A	B	A	A	A	B	A	B	B	A	B	A	B	A	B	A	A	B	B	A	B	A	B	B	B	A	B	B	B	B	B	B	B	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	B	A	B	A	A	A	A	B	B
At2g16280-7	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	B	B	B	B	A	B	A	A	A	B	A	B	A	B	B	B	A	B	A	A	B	B	B	A	B	B	B	A	A	A	A	B	B	B	A	B	B	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	A	B	B	A	A	B	A	B	B	A	B	A	B	A	B	A	A	B	B	A	B	A	B	B	B	A	B	B	B	B	B	B	B	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	B	A	B	A	A	A	A	B	B
At2g16510-5	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	A	B	A	A	A	B	A	B	A	B	B	B	A	A	A	A	B	A	B	A	B	B	B	A	A	A	A	A	B	B	A	B	B	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	A	B	B	A	A	B	A	B	B	A	B	A	B	A	B	A	A	B	B	A	B	A	B	B	B	A	B	B	B	B	B	B	B	A	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	B	A	B	A	A	A	A	B	B
At2g16700-6	A	B	B	B	B	A	A	B	A	B	B	B	B	A	A	A	B	B	A	B	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	A	B	A	A	A	B	A	B	A	A	B	B	A	B	A	A	B	A	B	A	B	B	B	A	A	A	A	B	B	B	B	B	A	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	B	A	B	B	A	B	A	B	A	B	A	A	B	B	A	B	A	B	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	B	A	B	A	A	A	A	B	B
At2g17240-6	A	B	A	B	B	B	A	B	A	B	A	B	B	A	A	A	B	B	A	A	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	A	B	A	A	B	B	A	B	A	A	B	B	A	A	A	A	B	A	B	A	B	B	B	A	A	A	A	A	B	B	B	B	A	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	B	A	B	B	A	B	A	B	A	B	A	A	B	B	A	B	A	B	B	B	A	B	B	A	B	B	B	B	A	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	B	A	B	A	A	A	A	B	B
At2g17450-6	A	B	A	B	B	B	A	B	A	B	A	B	B	A	A	A	B	B	A	A	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	A	B	A	A	B	B	A	B	A	A	B	B	A	B	A	A	B	A	B	A	B	B	B	A	A	A	A	B	B	B	B	B	A	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	B	A	B	B	A	B	A	B	A	B	A	A	B	B	A	B	A	B	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	B	A	B	A	A	A	A	B	B
At2g17670-9	A	B	A	B	B	B	A	B	A	B	A	B	B	A	A	A	B	B	A	A	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	B	B	A	A	B	B	A	B	A	-	B	B	A	-	A	A	B	A	B	B	B	B	B	A	A	A	A	B	B	B	B	B	A	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	B	A	B	B	A	B	A	B	A	B	A	A	B	B	A	B	A	B	B	B	A	B	B	A	B	B	A	B	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	B	A	A	A	A	A	A	B	B
At2g17880-8	A	B	A	B	B	B	A	B	A	B	A	B	B	A	A	A	B	B	A	A	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	B	B	A	A	B	B	A	B	A	A	B	B	A	A	A	A	B	A	B	B	B	B	B	A	A	B	A	B	B	B	B	B	A	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	B	A	B	B	A	B	A	B	A	A	A	A	B	B	A	B	A	B	B	B	A	B	B	A	B	B	A	B	A	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	B	A	A	A	A	A	A	B	B
At2g18250-10	A	B	A	B	B	B	A	B	A	B	A	B	B	A	A	A	B	B	A	A	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	B	B	A	A	B	B	A	B	A	A	B	B	A	A	A	A	B	A	B	B	A	B	B	A	A	B	A	B	B	B	B	B	A	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	B	A	B	B	A	B	A	B	A	B	A	A	B	B	A	B	A	B	B	B	A	B	B	A	B	B	A	B	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	B	A	A	A	A	A	A	B	B
At2g18300-3	A	B	A	B	B	B	A	B	A	B	A	B	B	A	A	A	B	B	A	A	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	B	B	A	A	B	B	A	B	A	A	B	B	A	A	A	A	B	A	B	B	A	B	B	A	A	B	A	B	B	B	B	B	A	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	B	A	B	B	A	B	A	B	A	B	A	A	B	B	A	B	A	B	B	B	A	B	B	A	B	B	A	B	A	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	B	A	A	A	A	A	A	B	B
At2g18400-11	A	B	A	B	B	B	A	B	A	B	A	B	B	A	A	A	B	B	A	A	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	B	B	A	A	B	B	A	B	A	A	B	B	A	-	A	A	B	A	B	B	A	B	B	A	A	B	A	B	B	B	B	B	A	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	B	A	B	B	A	B	A	B	A	B	A	A	B	B	A	B	A	B	B	B	A	B	B	A	B	B	A	B	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	A	A	A	A	A	A	A	B	B
At2g18710-1	A	B	A	B	B	B	A	A	A	B	A	B	B	B	A	A	B	B	A	A	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	B	B	A	A	B	B	A	B	A	A	B	B	A	B	A	A	B	A	B	B	A	B	B	A	A	B	A	B	B	B	B	B	A	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	B	A	B	B	A	B	A	B	A	B	A	A	B	B	A	B	A	B	B	B	A	B	B	A	B	B	A	B	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	A	A	A	B	A	A	A	B	B
At2g19270-11	A	B	A	B	B	B	A	A	A	B	A	B	B	B	A	A	B	B	A	A	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	B	B	B	B	A	A	B	B	A	B	A	A	B	B	A	A	A	A	B	A	B	B	A	B	B	A	A	B	A	B	B	B	B	B	A	A	B	B	B	B	B	A	B	A	A	B	A	B	B	B	B	B	B	A	A	B	A	B	B	A	B	A	B	A	B	A	A	B	B	A	B	A	B	B	B	A	B	B	A	B	B	A	B	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	A	A	A	B	A	A	A	B	B
MSAT2.36	A	B	A	B	B	B	A	A	A	B	A	B	B	B	A	A	B	B	A	A	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	A	B	B	B	A	A	B	B	A	B	A	A	B	B	A	-	B	A	B	A	B	B	B	B	B	A	B	B	A	B	B	B	B	B	A	A	B	B	B	B	B	A	B	B	A	B	A	B	A	B	B	B	B	A	A	B	A	B	B	B	B	A	B	A	B	A	B	B	B	A	B	A	B	B	B	A	B	B	-	B	B	A	B	-	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	A	A	-	B	A	A	A	B	B
At2g20230-2	A	B	A	B	B	B	A	A	A	B	A	B	B	B	A	A	B	B	A	A	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	A	B	B	B	A	A	A	B	A	B	A	A	B	B	A	B	B	A	B	A	B	B	B	B	B	A	B	B	A	B	B	B	B	B	A	A	B	B	B	B	B	A	B	B	A	B	A	B	A	B	B	B	B	A	A	B	A	B	B	B	B	A	B	A	B	A	B	B	B	A	B	A	B	B	B	A	B	B	A	B	B	A	B	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	A	A	A	B	A	A	A	B	B
At2g21340-11	A	B	A	B	B	B	A	A	A	B	A	B	B	B	A	A	B	B	A	A	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	A	A	B	B	A	A	A	B	A	B	A	A	B	B	A	B	B	A	B	A	B	B	B	B	B	A	B	B	A	B	B	B	B	B	A	A	B	B	B	B	B	A	B	B	A	B	A	B	A	B	B	B	B	A	A	B	A	B	B	B	B	A	B	A	B	A	B	B	B	A	B	A	B	B	B	A	B	B	A	B	B	A	B	B	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	A	A	A	A	B	A	A	A	B	B
At2g21620-10	A	B	A	B	B	B	A	A	A	B	A	B	B	B	A	A	B	B	A	A	B	B	B	B	A	A	B	B	B	A	A	A	B	A	A	B	A	B	A	A	B	B	A	A	A	B	A	B	A	A	B	B	A	B	B	A	B	A	B	B	B	B	B	A	B	B	A	B	B	B	B	B	A	A	B	B	B	B	B	A	B	B	A	B	A	B	A	B	B	B	B	A	A	B	A	B	B	B	B	A	B	A	B	A	B	B	B	A	B	A	B	B	B	A	B	B	A	B	B	A	B	A	A	B	B	A	B	B	A	B	B	B	B	B	A	B	B	A	B	B	A	B	B	A	A	A	B	A	A	A	B	B
